object_threshold,text_threshold,map_50_val,map_50_95_val,map_50_test,map_50_95_test
0.6000000000000001,0.4,0.12031582742929459,0.10765760391950607,0.03333333507180214,0.029999999329447746
0.6000000000000001,0.5,0.10765760391950607,0.09626519680023193,0.03333333507180214,0.029999999329447746
0.6000000000000001,0.6000000000000001,0.06968291848897934,0.062087979167699814,0.03333333507180214,0.029999999329447746
0.6000000000000001,0.7000000000000001,0.050632912665605545,0.049367088824510574,0.0,0.0
0.6000000000000001,0.8,0.025316456332802773,0.024050632491707802,0.0,0.0
0.6000000000000001,0.9,0.0,0.0,0.0,0.0
0.6000000000000001,1.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.1,0.050632912665605545,0.049367088824510574,0.0,0.0
0.7000000000000001,0.2,0.050632912665605545,0.049367088824510574,0.0,0.0
